Attrition,Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes,AgeEducation,AgeMoneyly,IntoAge,Satisfaction
0,37,1,4,1,2,3,5993,1,18,3,3,1,7,2,4,7,5,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,10.81081081081081,323,30,7
0,54,1,4,4,3,3,10502,7,17,3,1,1,33,2,1,5,4,1,4,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,7.407407407407407,583,21,8
1,34,7,3,1,1,3,6074,1,24,4,4,0,9,3,3,9,7,0,6,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,8.823529411764707,178,25,8
0,39,1,1,4,2,4,12742,1,16,3,3,1,21,3,3,21,6,11,8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2.5641025641025643,653,18,11
1,28,1,3,1,2,2,2596,1,15,3,1,2,1,2,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,10.714285714285714,185,27,4
0,24,4,1,4,3,3,4162,1,12,3,3,2,5,3,3,5,4,0,3,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,4.166666666666667,520,19,10
0,29,9,5,2,2,4,3983,0,17,3,3,0,4,2,3,3,2,2,2,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,17.24137931034483,274,25,9
0,36,2,2,2,2,3,7596,1,13,3,2,2,10,2,3,10,9,9,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5.555555555555555,422,26,7
0,33,4,4,3,2,2,2622,6,21,4,4,0,7,3,3,3,2,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,12.121212121212121,158,26,9
0,34,2,4,3,3,4,6687,1,11,3,4,0,14,2,4,14,11,4,11,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,11.764705882352942,590,20,11
1,24,22,1,4,1,3,1555,1,11,3,3,1,1,2,3,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4.166666666666667,64,23,10
0,35,10,4,1,3,3,6142,3,16,3,3,0,10,4,3,5,2,0,4,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11.428571428571429,526,25,7
1,30,3,3,4,3,1,2657,5,11,3,3,0,8,5,3,5,2,0,4,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,10.0,265,22,8
0,54,8,4,3,3,3,3780,7,11,3,3,0,19,3,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,7.407407407407407,210,35,9
0,34,1,3,4,2,2,3294,5,17,3,1,1,7,2,2,5,4,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,8.823529411764707,193,27,7
0,47,2,4,4,2,4,3294,1,18,3,1,0,3,3,2,3,2,1,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,8.51063829787234,140,44,9
0,36,15,4,4,1,4,5406,1,24,4,1,1,15,4,2,15,12,11,11,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,11.11111111111111,150,21,9
0,35,1,4,4,2,3,2258,6,12,3,2,1,10,2,3,8,0,1,7,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,11.428571428571429,129,25,9
0,29,19,3,3,2,3,8620,1,14,3,3,2,10,3,3,10,7,0,4,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,10.344827586206897,594,19,9
1,56,14,4,2,3,2,4963,9,18,3,1,3,7,2,3,5,4,4,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,7.142857142857143,265,49,5
0,45,10,2,1,3,4,2654,3,21,4,4,2,8,3,2,2,2,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4.444444444444445,176,37,9
0,46,1,4,4,3,1,9396,7,16,3,3,1,17,3,3,4,2,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,8.695652173913043,612,29,8
0,39,10,1,3,3,3,13464,7,21,4,3,0,9,3,3,4,3,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2.5641025641025643,1035,30,9
0,52,3,4,3,2,1,16856,1,11,3,1,0,34,3,4,34,6,1,16,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,7.6923076923076925,648,18,5
0,32,1,3,3,2,2,2332,6,20,4,3,0,5,3,3,3,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,9.375,145,27,8
0,46,18,1,1,3,3,10527,5,11,3,4,0,28,3,2,2,2,1,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2.1739130434782608,686,18,8
0,28,17,2,3,3,1,4558,1,12,3,4,1,10,2,3,10,0,1,8,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,7.142857142857143,488,18,8
0,29,23,2,3,4,3,2700,1,24,4,3,1,10,3,3,10,7,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,6.896551724137931,372,19,9
0,39,24,1,2,2,4,12031,0,11,3,1,1,21,2,2,20,9,9,6,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2.5641025641025643,616,18,7
